PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J0856-6137,0.962509,1.68e-15,0.0168,3.30,95.00 ,-1.6
J0857-4424,0.326774,2.33e-14,0.0093,0.98,184.43 ,-1.90
J0900-3144,0.011110,4.89e-20,0.0008,3.00,75.71 ,-1.30
J0901-4624,0.441995,8.75e-14,0.0031,0.51,199.30 ,-1.10
J0902-6325,0.660313,1.07e-16,0.0167,1.70,76.00 ,-1.6
J0904-4246,0.965171,1.89e-15,0.021,0.60,145.80 ,-1.6
J0904-7459,0.549553,4.63e-16,0.0166,2.00,51.10 ,-1.90
J0905-4536,0.988281,1.49e-16,0.1661,1.10,179.70 ,-1.6
J0905-5127,0.346287,2.49e-14,0.0074,1.05,196.43 ,-2.09
J0905-6019,0.340854,5.22e-16,0.0053,0.30,91.40 ,-1.6
J0907-5157,0.253556,1.83e-15,0.0121,17.00,103.72 ,-1.6
J0908-1739,0.401626,6.69e-16,0.0086,4.00,15.88 ,-1.50
J0908-4913,0.106755,1.52e-14,0.0009,20.00,180.37 ,-1.6
J0909-7212,1.362890,3.33e-16,0.0133,1.90,54.30 ,-1.00
J0912-3851,1.526085,3.59e-15,0.0356,0.10,71.50 ,-1.6
J0919-6040,1.216976,1.00e-17,0.0237,0.20,82.50 ,-1.6
J0922+0638,0.430627,1.37e-14,0.0059,10.00,27.30 ,-1.80
J0922-4949,0.950289,9.76e-14,0.0069,0.52,237.10 ,-1.00
J0924-5302,0.746295,3.55e-14,0.0131,1.10,152.90 ,-2.16
J0924-5814,0.739501,4.88e-15,0.0405,6.00,57.40 ,-1.40
J0927+2345,0.761889,3.05e-16,0.0135,0.06,17.24 ,-1.6
J0932-3217,1.931627,2.50e-16,0.0134,0.30,102.10 ,-2.74
J0932-5327,4.392159,8.37e-15,0.062,0.15,122.00 ,-1.6
J0934-4154,0.570409,2.69e-16,0.01,0.30,113.79 ,-1.6
J0934-5249,1.444773,4.65e-15,0.0225,3.20,100.00 ,-1.6
J0940-5428,0.087545,3.29e-14,0.0026,0.66,134.55 ,-1.00
J0941-5244,0.658558,1.14e-15,0.0154,0.50,157.94 ,-1.6
J0942-5552,0.664367,2.29e-14,0.009,11.00,180.20 ,-2.64
J0942-5657,0.808127,3.96e-14,0.004,1.00,159.74 ,-1.6
J0943+1631,1.087418,9.11e-17,0.0532,1.30,20.34 ,-1.00
J0943+2253,0.532975,8.98e-17,0.0115,0.39,27.25 ,-0.80
J0944-1354,0.570264,4.53e-17,0.0069,0.60,12.50 ,-3.00
J0945-4833,0.331586,4.83e-15,0.0046,0.39,98.10 ,-2.73
J0947+2740,0.851014,4.30e-16,0.04,0.13,29.09 ,-2.20
J0949-6902,0.640016,6.37e-16,0.0037,0.30,93.00 ,-1.6
J0952-3839,1.373815,5.80e-16,0.0336,4.00,167.00 ,-2.50
J0953+0755,0.253065,2.30e-16,0.0089,100.00,2.97 ,-1.30
J0954-5430,0.472834,4.39e-14,0.0097,0.51,201.57 ,-0.30
J0955-5304,0.862118,3.52e-15,0.0078,0.94,156.90 ,-1.6
J0957-5432,0.203557,1.95e-15,0.0036,0.18,226.10 ,-1.6
J0959-4809,0.670086,8.20e-17,0.0942,4.00,92.70 ,-1.6
J1000-5149,0.255677,9.59e-16,0.0045,0.26,72.80 ,-1.6
J1001-5507,1.436583,5.14e-14,0.0072,10.00,130.32 ,-1.6
J1001-5559,1.661177,8.60e-16,0.0148,1.40,159.30 ,-2.40
J1001-5939,7.733640,5.99e-14,0.0086,0.15,113.00 ,-1.6
J1002-5559,0.777501,1.57e-15,0.025,0.12,426.00 ,-1.6
J1002-5919,0.713489,1.04e-16,0.0613,0.17,347.00 ,-1.6
J1003-4747,0.307072,2.21e-14,0.0063,1.43,98.49 ,-1.40
J1012-5830,2.133591,3.77e-14,0.031,0.08,294.00 ,-1.6
J1012-5857,0.819911,1.77e-14,0.0073,1.80,383.90 ,-1.80
J1013-5934,0.442901,5.58e-16,0.0043,2.60,379.78 ,-0.90
J1015-5719,0.139882,5.74e-14,0.0443,3.00,278.10 ,-0.62
J1016-5345,0.769584,1.93e-15,0.0068,1.10,66.80 ,-1.60
J1016-5819,0.087834,6.98e-16,0.0027,0.36,252.16 ,-2.00
J1016-5857,0.107386,8.08e-14,0.0029,0.90,394.48 ,-1.30
J1017-5621,0.503459,3.13e-15,0.0029,1.80,438.70 ,-2.00
J1017-7156,0.002339,2.22e-21,6e-05,1.10,94.22 ,-1.73
J1018-1642,1.804695,1.74e-15,0.0211,0.70,48.82 ,-2.00
J1019-5749,0.162499,2.01e-14,0.0562,3.80,1040.00 ,-1.6
J1020-5921,1.238305,4.05e-14,0.0169,0.20,80.00 ,-1.6
J1020-6026,0.140480,6.74e-15,0.014,0.25,441.50 ,-1.6
J1021-5601,0.670026,5.34e-17,0.052,0.37,212.00 ,-1.6
J1022+1001,0.016453,4.33e-20,0.000972,6.10,10.25 ,-1.40
J1022-5813,1.643726,1.45e-13,0.036,0.20,714.00 ,-1.6
J1024-0719,0.005162,1.86e-20,0.000521,0.30,6.48 ,-1.90
J1028-5819,0.091403,1.61e-14,0.0001,0.24,96.53 ,1.30
J1031-6117,0.306411,1.78e-15,0.01,0.12,506.80 ,-1.6
J1032-5206,2.407622,1.79e-14,0.021,0.19,139.00 ,-1.6
J1032-5911,0.464208,3.00e-15,0.02,1.10,418.20 ,-2.50
J1034-3224,1.150590,2.30e-16,0.2519,8.00,50.75 ,-1.60
J1035-6345,0.579577,3.50e-16,0.0082,0.24,189.70 ,-1.6
J1036-4926,0.510368,1.65e-15,0.0099,0.80,136.53 ,-1.50
J1036-6559,0.533502,1.36e-15,0.0083,0.30,158.36 ,-1.6
J1038+0032,0.028852,6.70e-20,0.0021,0.20,26.59 ,-1.6
J1038-5831,0.661992,1.25e-15,0.0142,2.30,72.74 ,-1.30
J1041-1942,1.386368,9.45e-16,0.0489,2.30,33.78 ,-2.00
J1042-5521,1.170859,6.73e-15,0.025,0.62,306.50 ,-1.6
J1043-6116,0.288602,1.04e-14,0.0042,1.39,448.91 ,-1.20
J1045-4509,0.007474,1.77e-20,0.00084,1.90,58.14 ,-2.00
J1046+0304,0.326271,1.24e-16,0.023,0.30,25.30 ,-1.6
J1046-5813,0.369427,1.14e-15,0.0079,1.40,240.20 ,-1.90
J1047-3032,0.330328,6.10e-17,0.0232,1.10,52.54 ,-1.6
J1047-6709,0.198451,1.69e-15,0.0022,3.10,116.16 ,-0.70
J1048-5832,0.123671,9.63e-14,0.0048,9.10,128.68 ,-0.52
J1049-5833,2.202325,4.41e-15,0.03,0.70,446.80 ,-1.6
J1052-5954,0.180592,2.00e-14,0.0023,0.15,491.90 ,-1.6
J1052-6348,0.383830,3.87e-16,0.01,0.11,167.50 ,-1.6
J1054-5943,0.346909,4.07e-15,0.0048,0.31,330.70 ,-1.6
J1054-5946,0.228324,2.09e-16,0.0067,0.20,253.90 ,-1.6
J1054-6452,1.840004,3.14e-15,0.022,0.25,234.00 ,-1.6
J1055-6022,0.947558,9.24e-14,0.0232,0.20,590.00 ,-1.6
J1055-6028,0.099661,2.95e-14,0.0029,0.95,636.50 ,-1.6
J1055-6236,0.448635,7.08e-16,0.0073,0.12,149.70 ,-1.6
J1055-6905,2.919397,2.03e-14,0.0397,0.30,142.80 ,-1.6
J1056-5709,0.676082,5.76e-16,0.016,0.11,436.50 ,-1.6
J1056-6258,0.422447,3.58e-15,0.0174,34.00,320.30 ,-1.10
J1056-7117,0.026310,6.30e-20,0.005,0.34,93.04 ,-1.6
J1057-5226,0.197108,5.83e-15,0.0887,4.40,29.69 ,-0.95
J1057-7914,1.347402,1.33e-15,0.021,0.60,51.00 ,-1.6
J1058-5957,0.616270,6.57e-16,0.0156,0.60,334.00 ,-2.57
J1059-5742,1.184999,4.30e-15,0.0174,2.00,108.70 ,-3.30
J1101-6424,0.005109,1.80e-21,0.00054,0.27,207.00 ,-1.6
J1103-5403,0.003393,3.68e-21,0.00014,0.18,103.92 ,-1.6
J1103-6025,0.396587,9.90e-16,0.0055,0.17,275.90 ,-1.6
J1104-6103,0.280905,1.97e-15,0.0049,0.24,78.51 ,-1.6
J1105-6107,0.063193,1.58e-14,0.0028,1.20,271.24 ,-1.10
J1106-6438,2.717934,2.33e-15,0.027,0.19,203.00 ,-1.6
J1107-5907,0.252773,9.01e-18,0.0093,0.18,40.20 ,-1.6
J1107-5947,1.516531,3.40e-16,0.0383,0.30,158.40 ,-1.59
J1107-6143,1.799396,1.56e-13,0.026,0.38,406.00 ,-1.58
J1110-5637,0.558253,2.06e-15,0.0202,3.30,262.56 ,-1.20
J1112-6103,0.064962,3.15e-14,0.0113,2.30,599.10 ,-1.00
J1112-6613,0.334213,8.24e-16,0.0131,1.70,249.30 ,-2.10
J1112-6926,0.820484,2.84e-15,0.0248,0.60,148.40 ,-2.20
J1114-6100,0.880820,4.61e-14,0.0274,4.70,677.00 ,-0.90
J1115-6052,0.259777,7.23e-15,0.004,0.48,226.92 ,-1.20
J1116-4122,0.943158,7.95e-15,0.0092,6.00,40.53 ,-1.20
J1117-6154,0.505097,1.25e-14,0.0039,1.60,493.60 ,-1.6
J1117-6447,1.155272,2.40e-16,0.061,0.14,303.00 ,-1.6
J1119-6127,0.407963,4.02e-12,0.0215,1.09,704.80 ,-1.40
J1119-7936,2.280597,3.67e-15,0.0355,0.70,27.40 ,-1.6
J1121-5444,0.535783,2.77e-15,0.0189,1.50,204.70 ,-2.20
J1123-4844,0.244838,6.54e-17,0.0074,1.00,92.92 ,-1.40
J1123-6102,0.640234,6.46e-15,0.0069,1.10,439.40 ,-1.6
J1123-6259,0.271434,5.25e-15,0.0053,0.51,223.26 ,-2.10
J1123-6651,0.232976,2.75e-15,0.0168,0.60,111.20 ,-2.30
J1124-5638,0.185560,9.00e-18,0.015,0.31,289.50 ,-1.6
J1124-6421,0.479099,6.20e-16,0.013,0.19,298.00 ,-1.6
